BLZ	Bankname
10000000	Bundesbank
10010010	Postbank
10010111	SEB
10010222	The Royal Bank of Scotland, Niederlassung Deutschland
10010424	Aareal Bank
10019610	Dexia Kommunalbank Deutschland
10020000	Berliner Bank -alt-
10020200	BHF-BANK
10020400	Citadele Bank Zndl Deutschland
10020500	Bank für Sozialwirtschaft
10020890	UniCredit Bank - HypoVereinsbank
10020890	UniCredit Bank - HypoVereinsbank
10020890	UniCredit Bank - HypoVereinsbank
10020890	UniCredit Bank - HypoVereinsbank
10020890	UniCredit Bank - HypoVereinsbank
10020890	UniCredit Bank - HypoVereinsbank
10030200	Berlin-Hannoversche Hypothekenbank
10030400	ABK-Kreditbank
10030500	Bankhaus Löbbecke
10030600	North Channel Bank
10030700	Gries & Heissel - Bankiers
10033300	Santander Consumer Bank
10040000	Commerzbank Berlin (West)
10040010	Commerzbank, CC SP
10040048	Commerzbank GF-B48
10040060	Commerzbank Gf 160
10040061	Commerzbank Gf 161
10040062	Commerzbank CC
10040063	Commerzbank CC
10045050	Commerzbank Service-BZ
10050000	Landesbank Berlin - Berliner Sparkasse
10050005	Landesbank Berlin - E 1 -
10050006	Landesbank Berlin - E 2 -
10050007	Landesbank Berlin - E 3 -
10050008	Landesbank Berlin - E 4 -
10050020	LBB S-Kreditpartner, Berlin
10050021	LBB S-Kreditpartner Bad Homburg v d Höhe
10050500	LBS Ost Berlin
10050600	WestLB Berlin
10050999	DekaBank Berlin
10060198	Pax-Bank
10060237	Evangelische Darlehnsgenossenschaft
10061006	Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ
10070000	Deutsche Bank Fil Berlin
10070000	Deutsche Bank Fil Berlin Gf P2
10070024	Deutsche Bank Privat und Geschäftskunden F 700
10070024	Deutsche Bank Privat und Geschäftskunden F 700 Gf P2
10070100	Deutsche Bank Fil Berlin II
10070124	Deutsche Bank Privat und Geschäftskd Berlin II
10070848	Berliner Bank Niederlassung der Deutsche Bank PGK
10077777	norisbank
10080000	Commerzbank vormals Dresdner Bank Filiale Berlin I
10080005	Commerzbank vormals Dresdner Bank Zw A
10080006	Commerzbank vormals Dresdner Bank Zw B
10080055	Commerzbank vormals Dresdner Bank Zw 55
10080057	Commerzbank vormals Dresdner Bank Gf ZW 57
10080085	Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3
10080086	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4
10080087	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5
10080088	Commerzbank vormals Dresdner Bank IBLZ
10080089	Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6
10080900	Commerzbank vormals Dresdner Bank Filiale Berlin III
10089260	Commerzbank vormals Dresdner Bank ITGK
10089999	Commerzbank vormals Dresdner Bank ITGK 2
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank
10090000	Berliner Volksbank (eh Grundkreditbank)
10090000	Berliner Volksbank (Gf P2)
10090000	Berliner Volksbank Fil Rheinsberg
10090000	Berliner Volksbank Fil Velten
10090000	Volksbank Potsdam Zndl d Berliner Volksbank
10090300	Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer
10090603	apoBank
10090603	apoBank
10090603	apoBank
10090603	apoBank
10090603	apoBank
10090603	apoBank
10090603	apoBank
10090603	apoBank
10090603	apoBank
10090900	PSD Bank Berlin-Brandenburg
10110300	Bankhaus Dr. Masel
10110400	Investitionsbank Berlin
10110600	quirin bank
10120100	Weberbank
10120600	Santander Consumer Bank
10120760	UniCredit Bank - HypoVereinsbank Ndl 260 BIn
10120800	VON ESSEN Bankgesellschaft
10120900	readybank
10120900	readybank
10120999	readybank Gf GAA
10130600	Isbank Fil Berlin
10130800	BIW Bank
10220600	Sydbank Filiale Berlin
10310600	Tradegate Wertpapierhandelsbank Berlin
12016836	KfW Kreditanstalt für Wiederaufbau
12030000	Deutsche Kreditbank Berlin
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank
12030000	Deutsche Kreditbank (Gf P2)
12030900	Merck Finck & Co
12040000	Commerzbank Berlin Ost
12050555	NLB FinanzIT
12060000	DZ BANK
12070000	Deutsche Bank Ld Brandenburg
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070000	Deutsche Bank
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden
12070024	Deutsche Bank Privat und Geschäftskunden F 704
12070070	Deutsche Bank (Gf intern)
12070088	Deutsche Bank (Gf intern)
12080000	Commerzbank vormals Dresdner Bank Filiale Berlin II
12090640	apoBank
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
12096597	Sparda-Bank Berlin
13000000	Bundesbank
13010111	SEB
13010111	SEB
13010111	SEB
13040000	Commerzbank
13040000	Commerzbank
13040000	Commerzbank
13050000	Ostseesparkasse Rostock
13050000	Ostseesparkasse Rostock
13050000	Ostseesparkasse Rostock
13050000	Ostseesparkasse Rostock
13050000	Ostseesparkasse Rostock
13051042	Sparkasse Rügen
13061008	Volksbank Wolgast
13061008	Volksbank Wolgast (Gf P2)
13061028	Volksbank Raiffeisenbank ehem VB Greifswald
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
